timestamp,run_id,preset,status,log_path,val_loss,val_bpb,model_bytes,code_bytes,total_bytes,notes
2026-03-18T22:25:23.310081+00:00,sample-baseline,baseline,completed,examples/sample_train.log,2.0727,1.22436570,15815847,47642,15863489,
2026-03-20T10:41:29.216814+00:00,baseline_dev_manual_2026-03-20,baseline_dev,completed,/Users/proximity/Documents/Golf/logs_baseline_dev_manual_2026-03-20.log,2.72190787,1.61206716,8986697,58509,9045206,manual UI-created pod on EU-RO-1 volume GOLF_VOL; stock runpod/pytorch image; torch upgraded to 2.10.0 during bootstrap
2026-03-20T10:55:43.282497+00:00,kv2_failed_2026-03-20,kv2,failed,/Users/proximity/Documents/Golf/logs_kv2_failed_2026-03-20.log,,,,,,existing-pod helper worked; run failed on RTX 4090 due Inductor/Triton compile OOR with NUM_KV_HEADS=2 and compile enabled
